court_num,circuit_num,end_year,start_year,judge_name,year,name_perm
1010,12,2005.0,1965.0,"Bryant, William Benson",0,WILLIAM BENSON BRYANT
13,13,2022.0,1994.0,"Bryson, William Curtis",0,WILLIAM CURTIS BRYSON
1094,5,2009.0,1979.0,"Buchmeyer, Jerry",0,JERRY  BUCHMEYER
1104,2,2022.0,1999.0,"Buchwald, Naomi Reice",0,NAOMI REICE BUCHWALD
1077,11,2022.0,1993.0,"Bucklew, Susan C.",0,SUSAN C BUCKLEW
12,12,2022.0,1985.0,"Buckley, James Lane",0,JAMES LANE BUCKLEY
1087,7,2022.0,1994.0,"Bucklo, Elaine E.",0,ELAINE E BUCKLO
1068,3,2022.0,1990.0,"Buckwalter, Ronald Lawrence",0,RONALD LAWRENCE BUCKWALTER
1106,5,2020.0,1970.0,"Bue, Carl Olaf, Jr.",0,CARL OLAF BUE
1032,8,2022.0,2019.0,"Buescher, Brian Craig",0,BRIAN CRAIG BUESCHER
1080,4,2006.0,1982.0,"Bullock, Frank William, Jr.",0,FRANK WILLIAM BULLOCK
9,9,2022.0,2019.0,"Bumatay, Patrick Joseph",0,PATRICK JOSEPH BUMATAY
1035,3,2022.0,2006.0,"Bumb, Renee Marie",0,RENEE MARIE BUMB
1060,6,2022.0,2002.0,"Bunning, David L.",0,DAVID L BUNNING
1120,5,2001.0,1979.0,"Bunton, Lucius Desha III",0,LUCIUS DESHA BUNTON
1122,9,2010.0,1994.0,"Burgess, Franklin D.",0,FRANKLIN D BURGESS
1005,9,2022.0,2006.0,"Burgess, Timothy Mark",0,TIMOTHY MARK BURGESS
1083,11,2022.0,2018.0,"Burke, Liles Clifton",0,LILES CLIFTON BURKE
1012,2,2019.0,1978.0,"Burns, Ellen Bree",0,ELLEN BREE BURNS
1041,9,2001.0,1972.0,"Burns, James Milton",0,JAMES MILTON BURNS
1097,9,2022.0,2003.0,"Burns, Larry Alan",0,LARRY ALAN BURNS
1067,10,2001.0,1994.0,"Burrage, Billy Michael",0,BILLY MICHAEL BURRAGE
1093,10,2001.0,1994.0,"Burrage, Billy Michael",0,BILLY MICHAEL BURRAGE
